taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,Cultured,Habitat,Genome Size   * assembled,Gene Count   * assembled
2531839260,Archaea,Permanent Draft,Natrialba hulunbeirensis JCM 10989,Natrialba hulunbeirensis JCM 10989,"University of California, Davis",2531839260,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba hulunbeirensis,Yes,"Aquatic, Fresh water, Sediment",4159606,3897
2630968729,Archaea,Finished,Methanogenic archaea and the global carbon cycle UIUC,Methanosarcina barkeri MS,"University of Illinois, Urbana-Champaign",2630968729,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Yes,Sewage,4574907,3892
2617270898,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Haloplanus vescus CGMCC 1.8712,DOE Joint Genome Institute (JGI),2617270898,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus vescus,Yes,,2776859,3024
2554235482,Archaea,Permanent Draft,Haloarchaeal genomes,Haloarcula amylolytica JCM 13557,"University of California, Davis",2554235482,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula amylolytica,Yes,"Aquatic, Fresh water",4225424,4230
2802429655,Archaea,Permanent Draft,Halorubrum,Halorubrum ezzemoulense Ec15,University of Connecticut,2802429655,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense,Yes,,3273181,3370
2773858058,Archaea,Finished,Pyrodictium delaneyi Su06,Pyrodictium delaneyi Su06,Kyunghee University,2773858058,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi,Yes,,2023836,2150
2687453501,Archaea,Finished,Pyrococcus kukulkanii NCB100 genome sequencing,Pyrococcus kukulkanii NCB100,Ecole Normale Superieure de Lyon,2687453501,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus kukulkanii,Yes,,1977126,2321
651324076,Archaea,Permanent Draft,Candidatus Nitrosoarchaeum koreensis MY1,Nitrosarchaeum koreensis MY1,Korea Research Institute of Bioscience and Biotechnology,651324076,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum koreense,Yes,"Plant root, Rhizosphere, Soil",1607695,1991
2675903482,Archaea,Permanent Draft,Genome sequencing of Aeropyrum camini JCM 12091,"Aeropyrum camini SY1, JCM 12091",University of Tokyo,2675903482,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum camini,Yes,"Aquatic, Hot spring, Hydrothermal vent, Marine",1588147,2139
2663763426,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 3.F.T.1A.2,"University of Illinois, Urbana-Champaign",2663763426,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4150621,3643
650377985,Archaea,Finished,Vulcanisaeta moutnovskia 768-28,Vulcanisaeta moutnovskia 768-28,"Russian Academy of Science, Centre Bioengineering",650377985,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,Yes,,2298983,2365
2531839219,Archaea,Permanent Draft,Halalkalicoccus jeotgali DSM 18796,"Halalkalicoccus jeotgali B3, DSM 18796","University of California, Davis",2531839219,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus jeotgali,Yes,"Fermented food product, Fish, Host",3614122,3849
2648501421,Archaea,Finished,Methanogenic archaea and the global carbon cycle UIUC,Methanosarcina barkeri 3,"University of Illinois, Urbana-Champaign",2648501421,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Yes,,4560446,3836
638154505,Archaea,Finished,Methanocaldococcus jannaschii DSM 2661,Methanocaldococcus jannaschii DSM 2661,J. Craig Venter Institute,638154505,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Yes,"Aquatic, Hot spring, Hydrothermal vent, Marine",1739927,1844
2913477690,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Halarchaeum solikamskense DSM 26612,DOE Joint Genome Institute (JGI),2913477690,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum solikamskense,Yes,,3122714,3302
2639762927,Archaea,Finished,Thermofilum uzonense 1807-2,Thermofilum uzonense 1807-2,Baltic Federal University,2639762927,unclassified,unclassified,unclassified,Thermofilaceae,Thermofilum,Thermofilum uzonense,Yes,,1611988,1739
2554235510,Archaea,Permanent Draft,Haloarchaeal genomes,Haloarcula sinaiiensis BJSG-2,"University of California, Davis",2554235510,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sinaiiensis,Yes,,4405164,4394
2503044004,Archaea,Permanent Draft,Site 08 Desulfuro,Desulfurococcales archaeon,,2503044004,Crenarchaeota,Thermoprotei,Desulfurococcales,unclassified,unclassified,unclassified,Yes,,1436287,1755
2681813380,Archaea,Permanent Draft,Haloferax sp. Q22 Genome sequencing and assembly,Haloferax sp. Q22,"Institute of Microbiology, Chinese Academy of Sciences",2681813380,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Q22,Yes,,3977555,4089
2547132060,Archaea,Permanent Draft,"Pan-genome of Methanobrevibacter smithii, in twins",Methanobrevibacter smithii TS147B,Washington University in St. Louis,2547132060,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Yes,"Host, Human intestinal microflora, Soil",1965064,1962
2663762650,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 3.H.A.2.5,"University of Illinois, Urbana-Champaign",2663762650,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4088731,3577
2657244923,Archaea,Finished,Nitrosocosmicus oleophilus MY3 Genome sequencing,Nitrosocosmicus oleophilus MY3,Chungbuk National University,2657244923,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus oleophilus,Yes,,3430706,3767
